epoch,lr,train_loss,val_loss,acc,f1_macro,f1_micro,f1_mean
1,5.095e-06,1.6221282033418556,1.605538224431293,0.0631936985320444,0.0237750463040916,0.0631936985320444,0.043484372418068004
2,1.0090000000000002e-05,1.6120871684043032,1.5858088070630088,0.1079484425349087,0.054694309376890016,0.1079484425349087,0.08132137595589936
3,1.5085000000000002e-05,1.5952606865031271,1.5628684462930753,0.5687432867883996,0.24871178917597928,0.5687432867883996,0.4087275379821894
4,2.008e-05,1.5776158985076159,1.5368707716529018,0.5955961331901182,0.26197777798386096,0.5955961331901182,0.42878695558698954
5,2.5075000000000003e-05,1.5123051155166312,1.4413406304292171,0.5429645542427497,0.31763004033486875,0.5429645542427497,0.4302972972888092
6,3.0070000000000005e-05,1.4175023266084597,1.3393069717818333,0.6206587898317222,0.3087935655142083,0.6206587898317222,0.4647261776729652
7,3.5065000000000004e-05,1.3290628130653472,1.2116894531198783,0.6408879341210169,0.3701828842029721,0.6408879341210169,0.5055354091619945
8,4.0060000000000006e-05,1.2315331980827384,1.121856959071844,0.6290726817042607,0.38830449333942946,0.6290726817042607,0.5086885875218451
9,4.5055e-05,1.1740351436052052,1.0950314787353532,0.6330110991765127,0.4014252731723805,0.6330110991765127,0.5172181861744466
10,5.005000000000001e-05,1.124881825544455,1.0452146352169722,0.6188686000716076,0.4668813052673982,0.6188686000716076,0.5428749526695029
11,5.5045e-05,1.0936162820249458,1.018471032797202,0.6095596133190118,0.4727490296777422,0.6095596133190118,0.541154321498377
12,6.004000000000001e-05,1.059941660289421,0.9929768025896433,0.6210168277837451,0.4833431610027266,0.6210168277837451,0.5521799943932358
13,6.5035e-05,1.0472654013215938,0.972290483483097,0.6462585034013606,0.5002139682017945,0.6462585034013606,0.5732362358015776
14,7.003e-05,0.9823537664794308,0.9666042908775393,0.6630862871464375,0.5173625461472604,0.6630862871464375,0.5902244166468489
15,7.502500000000001e-05,0.936835036600587,0.9100774930362585,0.6756176154672395,0.5459880629691487,0.6756176154672395,0.6108028392181941
16,8.002000000000001e-05,0.9190548489168369,0.9213099031520069,0.6258503401360545,0.5258139272822364,0.6258503401360545,0.5758321337091454
17,8.5015e-05,0.9106905868794283,0.8664012145193682,0.6949516648764769,0.5558703268026408,0.6949516648764769,0.6254109958395588
18,9.001e-05,0.8857464332262067,0.9170225894967587,0.6548514142499104,0.5277692599172914,0.6548514142499104,0.5913103370836009
19,9.5005e-05,0.8656099302381856,0.823068157750733,0.6892230576441103,0.5890561974864861,0.6892230576441103,0.6391396275652982
20,0.0001,0.8470162937619798,0.7990286299672726,0.6765127103472968,0.5678229777705271,0.6765127103472968,0.622167844058912
21,9.978031724785246e-05,0.8457981386291179,0.8494051379880895,0.6894020766201218,0.5789891212463255,0.6894020766201218,0.6341955989332236
22,9.91232189110701e-05,0.8332210851020226,0.812551709835648,0.6759756534192625,0.5682891032457253,0.6759756534192625,0.6221323783324939
23,9.803453744100869e-05,0.7962283359999964,0.9402262607954157,0.6632653061224489,0.555138536832624,0.6632653061224489,0.6092019214775365
24,9.652393605146844e-05,0.7870927875328083,0.8335152757112331,0.717687074829932,0.5838759684172863,0.717687074829932,0.6507815216236091
25,9.460482294732421e-05,0.7747322595187829,0.8169565556342142,0.6881489437880415,0.5978289300204438,0.6881489437880415,0.6429889369042426
26,9.229423231234974e-05,0.7760439901425797,0.797901837193236,0.6834944504117436,0.5870553326947118,0.6834944504117436,0.6352748915532277
27,8.961267311259666e-05,0.7588838028147503,0.7833989902802619,0.707124955245256,0.6118379519011926,0.707124955245256,0.6594814535732243
28,8.658394705735987e-05,0.7534757856271742,0.8120546282255389,0.6552094522019334,0.5713799425163855,0.6552094522019334,0.6132946973591594
29,8.323493733352077e-05,0.7232848085780077,0.8104154507489858,0.6505549588256355,0.590654448328348,0.6505549588256355,0.6206047035769917
30,7.959536998847741e-05,0.7147951218194735,0.7532480980305957,0.6838524883637666,0.6106718256362864,0.6838524883637666,0.6472621570000265
31,7.569755007964339e-05,0.6990162497638349,0.7253573748572856,0.7076620121732904,0.6097830796200963,0.7076620121732904,0.6587225458966933
32,7.157607493247111e-05,0.693761488451419,0.8039117256373519,0.6924453992123165,0.5912514395219863,0.6924453992123165,0.6418484193671514
33,6.726752705214194e-05,0.6782913079457005,0.760854449039115,0.7280701754385965,0.6272230548498109,0.7280701754385965,0.6776466151442038
34,6.281014941466031e-05,0.6728593232274092,0.779805537175842,0.6784819190834228,0.6140432271568084,0.6784819190834228,0.6462625731201156
35,5.824350601949144e-05,0.6574692213371023,0.7440419009710955,0.6944146079484426,0.6156730842194496,0.6944146079484426,0.6550438460839461
36,5.360813071670102e-05,0.6477181994211096,0.7099597437211872,0.7228786251342643,0.6396280426399272,0.7228786251342643,0.6812533338870957
37,4.894516742563266e-05,0.6391289178280148,0.7763676502949612,0.6720372359470104,0.6093948041001738,0.6720372359470104,0.6407160200235921
38,4.4296004938566934e-05,0.6337164469305364,0.7487710738455229,0.7040816326530612,0.6323965602039325,0.7040816326530612,0.6682390964284969
39,3.970190955087115e-05,0.625426164444226,0.7406287597918485,0.7230576441102757,0.6304733733597383,0.7230576441102757,0.6767655087350071
40,3.52036587784401e-05,0.6137275847855282,0.7318229142841881,0.7098102398854279,0.6190102877541948,0.7098102398854279,0.6644102638198113
41,3.0841179413578366e-05,0.6173594483618356,0.7073868344515573,0.72359470103831,0.6406511463740362,0.72359470103831,0.6821229237061731
42,2.665319313196509e-05,0.6073632072411892,0.7490569999300789,0.6811672037235947,0.624208817270125,0.6811672037235947,0.6526880104968599
43,2.2676872796319533e-05,0.5824159800724512,0.7483565428758069,0.6919083422842821,0.626288279472819,0.6919083422842821,0.6590983108785505
