epoch,lr,train_loss,val_loss,acc,f1_macro,f1_micro,f1_mean
1,5.095e-06,1.7839553488415507,1.8086129331776544,0.0026852846401718583,0.004929644803718932,0.0026852846401718583,0.003807464721945395
2,1.0090000000000002e-05,1.7952842138081837,1.844785954207022,0.013605442176870748,0.007507110789844657,0.013605442176870748,0.010556276483357703
3,1.5085000000000002e-05,1.7828524630345557,1.8339961522631947,0.01342642320085929,0.006364882703597411,0.01342642320085929,0.009895652952228351
4,2.008e-05,1.7785196651936332,1.800363930373733,0.01342642320085929,0.006410771485965579,0.01342642320085929,0.009918597343412435
5,2.5075000000000003e-05,1.7673646228627056,1.7680103872311486,0.013784461152882205,0.008643129990495735,0.013784461152882205,0.011213795571688969
6,3.0070000000000005e-05,1.7408310577344215,1.653042611707038,0.12710347296813462,0.06179330860919615,0.12710347296813462,0.09444839078866539
7,3.5065000000000004e-05,1.7377256523410416,1.6005177357014986,0.36967418546365916,0.1479963152765487,0.36967418546365916,0.2588352503701039
8,4.0060000000000006e-05,1.7022120691894917,1.5306463566809796,0.6942355889724311,0.19770911877260025,0.6942355889724311,0.44597235387251566
9,4.5055e-05,1.6639738823456922,1.4356540712540269,0.9362692445399212,0.21729536541252023,0.9362692445399212,0.5767823049762207
10,5.005000000000001e-05,1.645852918670219,1.4040386698982683,0.884890798424633,0.22110091193314205,0.884890798424633,0.5529958551788875
11,5.5045e-05,1.60006071232767,1.3046772488120462,0.9403866809881848,0.22374226329323207,0.9403866809881848,0.5820644721407084
12,6.004000000000001e-05,1.611246214804672,1.3009891588970448,0.9106695309702828,0.2356014917819711,0.9106695309702828,0.573135511376127
13,6.5035e-05,1.5328691183292733,1.2435365552932953,0.9380594343000358,0.24483355249537442,0.9380594343000358,0.591446493397705
14,7.003e-05,1.475735384764271,1.1227385392122442,0.9335839598997494,0.24451588474287198,0.9335839598997494,0.5890499223213107
15,7.502500000000001e-05,1.4706651473007566,1.105157283805324,0.9278553526673827,0.24079879500384993,0.9278553526673827,0.5843270738356163
16,8.002000000000001e-05,1.4533104752965282,1.0490856374885034,0.9382384532760473,0.25143683163127356,0.9382384532760473,0.5948376424536604
17,8.5015e-05,1.4195543189434165,1.0235837702250934,0.9348370927318296,0.25405914056358353,0.9348370927318296,0.5944481166477066
18,9.001e-05,1.3522265444844725,1.061098573735398,0.8922305764411027,0.24205292837776668,0.8922305764411027,0.5671417524094347
19,9.5005e-05,1.362258460744625,0.9703344084053026,0.9131757966344433,0.24956902092426633,0.9131757966344433,0.5813724087793548
20,0.0001,1.3413086829208156,1.004538781724862,0.9144289294665234,0.2709689823736609,0.9144289294665234,0.5926989559200921
21,9.939057285945933e-05,1.3228747765349134,0.889813435363633,0.9144289294665234,0.2558150586997854,0.9144289294665234,0.5851219940831545
22,9.757729755661012e-05,1.215498378650889,0.8571680819010845,0.9070891514500538,0.27258451386434285,0.9070891514500538,0.5898368326571983
23,9.460482294732421e-05,1.2437618062159905,0.8481596039266003,0.8977801646974579,0.28011704083591665,0.8977801646974579,0.5889486027666873
24,9.05463412215599e-05,1.173603722864021,0.8600748767359385,0.9094163981382026,0.29491398048648093,0.9094163981382026,0.6021651893123418
25,8.55017856687341e-05,1.147734149322268,0.8980286789546507,0.9144289294665234,0.2945658172167099,0.9144289294665234,0.6044973733416167
