epoch,lr,train_loss,val_loss,acc,f1_macro,f1_micro,f1_mean
1,5.095e-06,1.632434571752269,1.641085957866222,0.0916577157178661,0.033584781895703505,0.0916577157178661,0.0626212488067848
2,1.0090000000000002e-05,1.6033111175484922,1.5828437113736293,0.1451843895452918,0.12802096967430523,0.1451843895452918,0.13660267960979852
3,1.5085000000000002e-05,1.538049965530271,1.4893304444195932,0.17454350161117077,0.1777758556795198,0.17454350161117077,0.1761596786453453
4,2.008e-05,1.4536316425264775,1.391859030877225,0.2900107411385607,0.2639455695629868,0.2900107411385607,0.27697815535077375
5,2.5075000000000003e-05,1.3649329525186147,1.3100666739886864,0.42696025778732544,0.35573068705383326,0.42696025778732544,0.3913454724205794
6,3.0070000000000005e-05,1.291948047373547,1.225212547926761,0.6097386322950232,0.41361236471066476,0.6097386322950232,0.511675498502844
7,3.5065000000000004e-05,1.2275046039762036,1.1650854379866997,0.5510204081632653,0.4455275583162635,0.5510204081632653,0.49827398323976435
8,4.0060000000000006e-05,1.1487449766488493,1.0997764795773182,0.5660580021482277,0.4582102305424061,0.5660580021482277,0.5121341163453169
9,4.5055e-05,1.1072777580320325,1.0498746340094696,0.583780880773362,0.47056338307076684,0.583780880773362,0.5271721319220644
10,5.005000000000001e-05,1.0497752138695575,1.0191821002251693,0.5818116720372359,0.49344695016626333,0.5818116720372359,0.5376293111017496
11,5.5045e-05,1.0069251124281577,1.0020018396222203,0.543859649122807,0.47585568852057863,0.543859649122807,0.5098576688216928
12,6.004000000000001e-05,0.9918890708337762,0.9662371693526465,0.5631936985320444,0.49421689683766495,0.5631936985320444,0.5287052976848546
13,6.5035e-05,0.9642635378460087,0.9372201306692725,0.6376655925528106,0.5292533359746627,0.6376655925528106,0.5834594642637367
14,7.003e-05,0.9382853028808078,0.9033807638593784,0.6274615109201576,0.5342394416471062,0.6274615109201576,0.580850476283632
15,7.502500000000001e-05,0.9189138178397995,0.9023973590107831,0.6591478696741855,0.5470866960738109,0.6591478696741855,0.6031172828739981
16,8.002000000000001e-05,0.9041217047615846,0.8893603102690508,0.6494808449695668,0.5376499593787515,0.6494808449695668,0.5935654021741592
17,8.5015e-05,0.8721564908512592,0.8681561250734449,0.6842105263157895,0.5576635682310364,0.6842105263157895,0.6209370472734129
18,9.001e-05,0.8495510937090479,0.8474656618968842,0.6791979949874687,0.5744754696630053,0.6791979949874687,0.6268367323252371
19,9.5005e-05,0.831730463365448,0.8276078772297308,0.698890082348729,0.5769109016253535,0.698890082348729,0.6379004919870412
20,0.0001,0.8030274158727594,0.8155523924429785,0.7056928034371643,0.5836567693430063,0.7056928034371643,0.6446747863900852
21,9.978031724785246e-05,0.777207588792123,0.8288440283079793,0.7105263157894737,0.5897991906392933,0.7105263157894737,0.6501627532143834
22,9.91232189110701e-05,0.7431096500127731,0.8003904069148636,0.7311134980307913,0.6076022874605378,0.7311134980307913,0.6693578927456645
23,9.803453744100869e-05,0.7183301306121032,0.793249334799872,0.7026494808449696,0.6007215565641536,0.7026494808449696,0.6516855187045616
24,9.652393605146844e-05,0.6845305354263495,0.7535896194779313,0.7225205871822413,0.6102662367914177,0.7225205871822413,0.6663934119868296
25,9.460482294732421e-05,0.6721050575002316,0.7498719692657039,0.725921947726459,0.6156254307031184,0.725921947726459,0.6707736892147886
26,9.229423231234974e-05,0.6390289241022152,0.7324288988301202,0.7441818832796276,0.6355771212193168,0.7441818832796276,0.6898795022494721
27,8.961267311259666e-05,0.6150245804648058,0.7361782435614534,0.7006802721088435,0.6109534409463138,0.7006802721088435,0.6558168565275786
28,8.658394705735987e-05,0.5918230382552654,0.7341223012107784,0.7484783387039026,0.6359765521558061,0.7484783387039026,0.6922274454298543
29,8.323493733352077e-05,0.5709202228423732,0.7518346056987681,0.6894020766201218,0.6136483723458384,0.6894020766201218,0.6515252244829801
30,7.959536998847741e-05,0.5380417161179242,0.7502391991587979,0.7602935911206588,0.649815130991767,0.7602935911206588,0.7050543610562129
31,7.569755007964339e-05,0.5140847514157995,0.7163379665689574,0.7389903329752954,0.638800790748357,0.7389903329752954,0.6888955618618262
32,7.157607493247111e-05,0.491059672339631,0.7153011811406988,0.7463301109917652,0.6421351455756705,0.7463301109917652,0.6942326282837179
