epoch,train_loss,val_loss,acc,f1_macro,f1_micro,f1_mean
1,1.2528108129222177,1.0329367725643428,0.6301467955603294,0.461072234596598,0.6301467955603294,0.5456095150784637
2,1.0025707425611645,0.8695602565737041,0.6636233440744719,0.5418095776425793,0.6636233440744719,0.6027164608585256
3,0.8965416570482522,0.8432627445773074,0.7030075187969925,0.548997431251389,0.7030075187969925,0.6260024750241908
4,0.847254610171969,0.8325728634288991,0.7037235947010383,0.589244586916076,0.7037235947010383,0.6464840908085572
5,0.8364551829303634,0.8382412568241561,0.684389545291801,0.5735828553755914,0.684389545291801,0.6289862003336961
6,0.7896205605473416,0.7621942447625818,0.7035445757250268,0.6028564262780807,0.7035445757250268,0.6532005010015538
7,0.7595850840239395,0.8070211626704005,0.7346938775510204,0.6014027933386725,0.7346938775510204,0.6680483354448465
8,0.7390255568768822,0.7456246446504672,0.7158968850698174,0.6014109300171473,0.7158968850698174,0.6586539075434823
9,0.6967969679902011,0.760042068184041,0.7099892588614393,0.6112386421231486,0.7099892588614393,0.6606139504922939
10,0.6910887974726699,0.7929808141465602,0.7112423916935195,0.6340860211615972,0.7112423916935195,0.6726642064275583
11,0.6570219716823338,0.9306804117574258,0.7092731829573935,0.6129526406026289,0.7092731829573935,0.6611129117800112
12,0.6428850141045026,0.745063910401512,0.7536698890082348,0.6442905569732605,0.7536698890082348,0.6989802229907477
13,0.6154279703106298,0.7444829849457596,0.7013963480128894,0.6258658391085268,0.7013963480128894,0.6636310935607082
14,0.5771628276597397,0.7220948581579463,0.7713927676333692,0.6734015620875706,0.7713927676333692,0.7223971648604699
15,0.544803504072772,0.7302907667960739,0.7522377372001432,0.6424618423487163,0.7522377372001432,0.6973497897744297
16,0.526497533222809,0.7370773959748855,0.7425707124955245,0.650591635790455,0.7425707124955245,0.6965811741429897
17,0.5062177511015092,0.742771633884363,0.771750805585392,0.6757679861011248,0.771750805585392,0.7237593958432584
18,0.4788028473657881,0.8195465263652836,0.7645900465449338,0.6703688329051245,0.7645900465449338,0.7174794397250291
19,0.4472746576129425,0.7878890219466301,0.7640529896168994,0.6598013882656409,0.7640529896168994,0.7119271889412702
20,0.41327086913371014,0.798863885631452,0.7323666308628715,0.6453810535280093,0.7323666308628715,0.6888738421954403
21,0.39113745033687036,0.9049156616547609,0.7753311851056212,0.6650907015972842,0.7753311851056212,0.7202109433514527
22,0.35837897258125767,0.8982112752657145,0.7733619763694952,0.6635739000466937,0.7733619763694952,0.7184679382080945
23,0.33144018132254194,0.8705867022500002,0.7696025778732546,0.6680884096889546,0.7696025778732546,0.7188454937811046
24,0.30354881370562853,0.9366906591525352,0.7624418188327963,0.6663396078346,0.7624418188327963,0.7143907133336982
25,0.2841679108309537,0.9943695160764714,0.7531328320802005,0.6490862758424532,0.7531328320802005,0.7011095539613268
26,0.2562987697566974,1.08128877634478,0.7440028643036162,0.6474519742564377,0.7440028643036162,0.6957274192800269
27,0.23615305443642762,1.0627178718678378,0.7701396348012889,0.6574913293012602,0.7701396348012889,0.7138154820512745
28,0.21816694012782833,1.0675125646411925,0.7638739706408879,0.661810790040169,0.7638739706408879,0.7128423803405284
29,0.1966898797587506,1.1437320102298298,0.7459720730397422,0.6548891471463402,0.7459720730397422,0.7004306100930412
30,0.18132779972016747,1.0612127127674715,0.7726459004654493,0.6709966706980772,0.7726459004654493,0.7218212855817633
31,0.17100913471744378,1.3061213232350102,0.7683494450411744,0.6514642981685912,0.7683494450411744,0.7099068716048829
32,0.16050109461799808,1.2673946145269719,0.768170426065163,0.6589674503883824,0.768170426065163,0.7135689382267727
33,0.1435501439604238,1.3911700025067464,0.7413175796634444,0.6418334880191416,0.7413175796634444,0.691575533841293
34,0.1285253038931368,1.2718721640993522,0.7649480844969567,0.6621640136912491,0.7649480844969567,0.7135560490941029
35,0.11799131006005424,1.315681404578528,0.7724668814894379,0.6611199801482568,0.7724668814894379,0.7167934308188473
36,0.11068533013948863,1.3763746747695713,0.7676333691371285,0.6552472426992375,0.7676333691371285,0.7114403059181831
37,0.09893445791870568,1.4466426585508512,0.7665592552810598,0.6576151202726397,0.7665592552810598,0.7120871877768498
38,0.09645190645530542,1.6383906339088137,0.736484067311135,0.6372052178069345,0.736484067311135,0.6868446425590348
39,0.08407462585165448,1.4572463311945885,0.7663802363050484,0.6617409144025757,0.7663802363050484,0.7140605753538121
