epoch,lr,train_loss,val_loss,acc,f1_macro,f1_micro,f1_mean
1,5.095e-06,1.7644849819251398,1.7167894715610645,0.0005370569280343716,0.0001789228842368939,0.0005370569280343716,0.00035798990613563275
2,1.0090000000000002e-05,1.766199630304999,1.7344580765398778,0.0007160759040458289,0.00024218201514988584,0.0007160759040458289,0.0004791289595978574
3,1.5085000000000002e-05,1.7601586348862863,1.7206577376742282,0.07160759040458288,0.023367586673662264,0.07160759040458288,0.04748758853912257
4,2.008e-05,1.7508278573547555,1.6971361016100384,0.9402076620121733,0.17396277366103097,0.9402076620121733,0.5570852178366021
5,2.5075000000000003e-05,1.743454055545963,1.64977447422354,0.9437880415324025,0.1856809119811702,0.9437880415324025,0.5647344767567863
6,3.0070000000000005e-05,1.7037146649355652,1.5863449531689024,0.9425349087003222,0.18529004662675255,0.9425349087003222,0.5639124776635374
7,3.5065000000000004e-05,1.6841141299460893,1.5170019023784633,0.9371643394199786,0.18972583575366597,0.9371643394199786,0.5634450875868222
8,4.0060000000000006e-05,1.649635699213114,1.444591285804246,0.935016111707841,0.1964938425843298,0.935016111707841,0.5657549771460855
9,4.5055e-05,1.6256222439712893,1.3649987637932652,0.9283924095954171,0.19131103659549628,0.9283924095954171,0.5598517230954567
10,5.005000000000001e-05,1.6222424221939455,1.3124265307984042,0.9362692445399212,0.1953787171921537,0.9362692445399212,0.5658239808660375
11,5.5045e-05,1.5915604798516096,1.3110034089339406,0.9210526315789473,0.19806279138286628,0.9210526315789473,0.5595577114809068
12,6.004000000000001e-05,1.590980970096488,1.2743400488965109,0.927139276763337,0.19950936201519062,0.927139276763337,0.5633243193892638
13,6.5035e-05,1.5581718957186497,1.139586062402312,0.9385964912280702,0.19587660684739724,0.9385964912280702,0.5672365490377337
14,7.003e-05,1.5514810608166338,1.1451260778923595,0.935374149659864,0.18642281539373495,0.935374149659864,0.5608984825267995
15,7.502500000000001e-05,1.5438538238109096,1.0871473250105694,0.9373433583959899,0.1977484455898315,0.9373433583959899,0.5675459019929108
16,8.002000000000001e-05,1.5059761855934999,1.082122030584265,0.9373433583959899,0.2023050897072174,0.9373433583959899,0.5698242240516036
17,8.5015e-05,1.5046452805478074,1.0406878290533208,0.9351951306838525,0.20847597530937279,0.9351951306838525,0.5718355529966126
18,9.001e-05,1.451270985077961,0.9236263033313389,0.9348370927318296,0.21773271305131545,0.9348370927318296,0.5762849028915725
